SampleID,Location,Soil,Status,Planting,Breeding
249,Guizhou,SandyLoam,Diseased,Intercropping,Weiyu5
250,Guizhou,Clay,Diseased,Monoculture,Favorita
251,Guizhou,Clay,Diseased,Monoculture,Favorita
252,Guizhou,Clay,Diseased,Monoculture,Favorita
253,Guizhou,Clay,Diseased,Monoculture,Favorita
254,Guizhou,Clay,Diseased,Monoculture,Favorita
255,Guizhou,Clay,Healthy,Monoculture,Unclear
256,Guizhou,Clay,Healthy,Monoculture,Unclear
257,Guizhou,Clay,Healthy,Monoculture,Unclear
258,Guizhou,Clay,Healthy,Monoculture,Unclear
259,Guizhou,Clay,Healthy,Monoculture,Unclear
260,Guizhou,Clay,Diseased,Monoculture,Unclear
261,Guizhou,Clay,Diseased,Monoculture,Unclear
262,Guizhou,Clay,Diseased,Monoculture,Unclear
263,Guizhou,Clay,Diseased,Monoculture,Unclear
264,Guizhou,Clay,Diseased,Monoculture,Unclear
265,Guizhou,SandyLoam,Diseased,Monoculture,Favorita
266,Guizhou,SandyLoam,Diseased,Monoculture,Favorita
267,Guizhou,SandyLoam,Diseased,Monoculture,Favorita
268,Guizhou,SandyLoam,Diseased,Monoculture,Favorita
269,Guizhou,SandyLoam,Diseased,Monoculture,Favorita
270,Guizhou,SandyLoam,Diseased,Monoculture,Zhongshu5
271,Guizhou,SandyLoam,Diseased,Monoculture,Zhongshu5
272,Guizhou,SandyLoam,Diseased,Monoculture,Zhongshu5
273,Guizhou,SandyLoam,Diseased,Monoculture,Zhongshu5
274,Guizhou,SandyLoam,Diseased,Monoculture,Zhongshu5
275,Guizhou,Clay,Diseased,Monoculture,Favorita
276,Guizhou,Clay,Diseased,Monoculture,Favorita
277,Guizhou,Clay,Diseased,Monoculture,Favorita
278,Guizhou,Clay,Diseased,Monoculture,Favorita
279,Guizhou,Clay,Diseased,Monoculture,Favorita
280,Guizhou,SandyLoam,Diseased,Monoculture,Mila
281,Guizhou,SandyLoam,Diseased,Monoculture,Mila
282,Guizhou,SandyLoam,Diseased,Monoculture,Mila
283,Guizhou,SandyLoam,Diseased,Monoculture,Mila
284,Guizhou,SandyLoam,Diseased,Monoculture,Mila
285,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
286,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
287,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
288,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
289,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
290,Guizhou,Clay,Healthy,Monoculture,Weiyu5
291,Guizhou,Clay,Healthy,Monoculture,Weiyu5
292,Guizhou,Clay,Healthy,Monoculture,Weiyu5
293,Guizhou,Clay,Healthy,Monoculture,Weiyu5
294,Guizhou,Clay,Healthy,Monoculture,Weiyu5
295,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
296,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
297,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
298,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
299,Guizhou,SandyLoam,Diseased,Monoculture,Qingshu9
300,Guizhou,SandyLoam,Diseased,Monoculture,Xuanshu2
301,Guizhou,SandyLoam,Diseased,Monoculture,Xuanshu2
302,Guizhou,SandyLoam,Diseased,Monoculture,Xuanshu2
303,Guizhou,SandyLoam,Diseased,Monoculture,Xuanshu2
304,Guizhou,SandyLoam,Diseased,Monoculture,Xuanshu2
305,Guizhou,Clay,Diseased,Monoculture,Unclear
306,Guizhou,Clay,Diseased,Monoculture,Unclear
307,Guizhou,Clay,Diseased,Monoculture,Unclear
308,Guizhou,Clay,Diseased,Monoculture,Unclear
309,Guizhou,Clay,Diseased,Monoculture,Unclear
310,Guizhou,Clay,Diseased,Monoculture,Weiyu5
311,Guizhou,Clay,Diseased,Monoculture,Weiyu5
312,Guizhou,Clay,Diseased,Monoculture,Weiyu5
313,Guizhou,Clay,Diseased,Monoculture,Weiyu5
314,Guizhou,Clay,Diseased,Monoculture,Weiyu5
315,Guizhou,Clay,Diseased,Monoculture,Qingshu9
316,Guizhou,Clay,Diseased,Monoculture,Qingshu9
317,Guizhou,Clay,Diseased,Monoculture,Qingshu9
318,Guizhou,Clay,Diseased,Monoculture,Qingshu9
319,Guizhou,Clay,Diseased,Monoculture,Qingshu9
320,Guizhou,Clay,Healthy,Monoculture,Weiyu5
321,Guizhou,Clay,Healthy,Monoculture,Weiyu5
322,Guizhou,Clay,Healthy,Monoculture,Weiyu5
323,Guizhou,Clay,Healthy,Monoculture,Weiyu5
324,Guizhou,Clay,Healthy,Monoculture,Weiyu5
325,Guizhou,Clay,Diseased,Monoculture,Unclear
326,Guizhou,Clay,Diseased,Monoculture,Unclear
327,Guizhou,Clay,Diseased,Monoculture,Unclear
328,Guizhou,Clay,Diseased,Monoculture,Unclear
329,Guizhou,Clay,Diseased,Monoculture,Unclear
330,Guizhou,SandyLoam,Diseased,Intercropping,Unclear
331,Guizhou,SandyLoam,Diseased,Intercropping,Unclear
332,Guizhou,SandyLoam,Diseased,Intercropping,Unclear
333,Guizhou,SandyLoam,Diseased,Intercropping,Unclear
334,Guizhou,SandyLoam,Diseased,Intercropping,Unclear
335,Guizhou,SandyLoam,Diseased,Intercropping,Qingshu9
336,Guizhou,SandyLoam,Diseased,Intercropping,Qingshu9
337,Guizhou,SandyLoam,Diseased,Intercropping,Qingshu9
338,Guizhou,SandyLoam,Diseased,Intercropping,Qingshu9
339,Guizhou,SandyLoam,Diseased,Intercropping,Qingshu9
340,Guizhou,Clay,Diseased,Monoculture,Maling3
341,Guizhou,Clay,Diseased,Monoculture,Maling3
342,Guizhou,Clay,Diseased,Monoculture,Maling3
343,Guizhou,Clay,Diseased,Monoculture,Maling3
344,Guizhou,Clay,Diseased,Monoculture,Maling3
345,Guizhou,Clay,Diseased,Monoculture,Maling3
346,Guizhou,Clay,Diseased,Monoculture,Maling3
347,Guizhou,Clay,Diseased,Monoculture,Maling3
348,Guizhou,Clay,Diseased,Monoculture,Maling3
349,Guizhou,Clay,Diseased,Monoculture,Maling3
350,Guizhou,Loam,Diseased,Monoculture,Favorita
351,Guizhou,Loam,Diseased,Monoculture,Favorita
352,Guizhou,Loam,Diseased,Monoculture,Favorita
353,Guizhou,Loam,Diseased,Monoculture,Favorita
354,Guizhou,Loam,Diseased,Monoculture,Favorita
355,Guizhou,Loam,Diseased,Monoculture,Favorita
356,Guizhou,Loam,Diseased,Monoculture,Favorita
357,Guizhou,Loam,Diseased,Monoculture,Favorita
358,Guizhou,Loam,Diseased,Monoculture,Favorita
359,Guizhou,Loam,Diseased,Monoculture,Favorita
360,Guizhou,Loam,Diseased,Monoculture,Unclear
361,Guizhou,Loam,Diseased,Monoculture,Unclear
362,Guizhou,Loam,Diseased,Monoculture,Unclear
363,Guizhou,Loam,Diseased,Monoculture,Unclear
364,Guizhou,Loam,Diseased,Monoculture,Unclear
365,Guizhou,Loam,Diseased,Monoculture,Weiyu5
366,Guizhou,Loam,Diseased,Monoculture,Weiyu5
367,Guizhou,Loam,Diseased,Monoculture,Weiyu5
368,Guizhou,Loam,Diseased,Monoculture,Weiyu5
369,Guizhou,Loam,Diseased,Monoculture,Weiyu5
370,Guizhou,Loam,Diseased,Monoculture,Weiyu5
371,Guizhou,Loam,Diseased,Monoculture,Weiyu5
372,Guizhou,Loam,Diseased,Monoculture,Weiyu5
373,Guizhou,Loam,Diseased,Monoculture,Weiyu5
374,Guizhou,Loam,Diseased,Monoculture,Weiyu5
375,Guizhou,Loam,Diseased,Intercropping,Unclear
